pdb	trunk	DockQ_HA	iptm	aggregate_score
8b1g	3		0.3271799087524414	0.4248785376548767
8b1g	4	0.0762317175829344	0.35456639528274536	0.4477059841156006
8b7h	0	0.343320630117351	0.7658214569091797	0.7850702404975891
8b7h	1	0.3281955682858967	0.7597755789756775	0.7794961333274841
8b7h	2	0.3551183579016015	0.7735632658004761	0.7927426695823669
8b7h	3	0.3111838090998763	0.7737422585487366	0.7928522825241089
8b7h	4	0.3587783799232082	0.7717540264129639	0.7910698652267456
8be2	1	0.425616037381602	0.30532026290893555	0.39683032035827637
8be2	2	0.4004035096911809	0.30872446298599243	0.3991251289844513
8be2	3	0.407005074093449	0.314100444316864	0.4041866660118103
8be2	4	0.36784370814197	0.2942432165145874	0.38718298077583313
8bec	0		0.24667340517044067	0.3135189414024353
8bec	1		0.21091878414154053	0.28309932351112366
8bec	2		0.2312263697385788	0.3005569875240326
8bec	3		0.22973336279392242	0.29916900396347046
8bec	4		0.22702831029891968	0.29706189036369324
8bg2	0		0.5464590787887573	0.579463005065918
8bg2	1		0.5407339334487915	0.574514627456665
8bg2	2		0.5456995368003845	0.5785224437713623
8bg2	3		0.5594549179077148	0.5907893776893616
8bg2	4		0.5365318059921265	0.5704391002655029
8bg3	0		0.22342295944690704	0.293163537979126
8bg3	1		0.2196815013885498	0.2894933819770813
8bg3	2		0.2940678596496582	0.3567337989807129
8bg3	3		0.2548305094242096	0.3211299479007721
8bg3	4		0.21284326910972595	0.2832574248313904
8bg4	0		0.2980315387248993	0.36450883746147156
8bg4	1	0.0265429342136592	0.33278536796569824	0.3925245404243469
8bg4	2	0.0269703684365166	0.33937200903892517	0.3997507691383362
8bg4	3	0.0299173939099242	0.4783138334751129	0.5207416415214539
8bg4	4	0.0234716411361625	0.3860255479812622	0.4414275288581848
8bg5	0	0.0275770796106341	0.4313603639602661	0.4750707149505615
8bg5	1	0.0135424328488558	0.4314920902252197	0.47528454661369324
8bg5	2	0.0132636563194624	0.42022496461868286	0.4660826325416565
8bg5	3	0.0131151169642564	0.43158331513404846	0.4753202795982361
8bg5	4	0.0140304273262059	0.3950405716896057	0.4439612627029419
8bk2	0		0.6361154317855835	0.6602330803871155
8bk2	1	0.0304600311810411	0.6357556581497192	0.6589881181716919
8bk2	2		0.6261141300201416	0.6511048078536987
8bk2	3	0.0282627833041572	0.6390300989151001	0.662600040435791
8bk2	4		0.639509379863739	0.6632580161094666
8byu	0	0.0079899150432778	0.5600975155830383	0.5870916843414307
8byu	1	0.0057182588375156	0.5486049056053162	0.5769216418266296
8byu	2	0.0082895050658202	0.5584604144096375	0.5855584144592285
8byu	3	0.0056204277178408	0.5481256246566772	0.5763283967971802
